Column1;Column2;Column3;Column4;Column5
23.649.825/0001-37;POSTO NOSSA SENHORA APARECIDA LTDA;RUA MARECHAL DEODORO,519,CENTRO,POCOS DE CALDAS,MG,BRAZIL;-21.78662639999999;-46.5594145
21.385.968/0002-34;INFANTE & PATRICIO LTDA;AVENIDA SANTO ANTONIO,497,CASCATINHA,POCOS DE CALDAS,MG,BRAZIL;-21.7938054;-46.56151679999999
46.891.002/0001-19;AUTO POSTO DUDA LTDA;RUA DO KAQUENDE,20,CENTRO,SABARA,MG,BRAZIL;-19.8935943;-43.81429520000001
21.662.242/0001-10;POSTO SANTA INES MINAS LTDA;AVENIDA CONTAGEM,1980,ANA LUCIA,SABARA,MG,BRAZIL;-19.87886900000001;-43.9082154
45.457.292/0001-24;POSTO DE COMBUSTIVEL DAVI LTDA;RUA MARQUES DE SAPUCAI,368,CENTRO,SABARA,MG,BRAZIL;-19.88704469999999;-43.80470099999999
09.559.750/0001-72;AUTO POSTO SABARA LTDA.;RUA PREFEITO  VITOR FANTINI,719,CENTRO,SABARA,MG,BRAZIL;-19.89360330000001;-43.81378330000002
27.486.672/0001-05;COMERCIO DE COMBUSTIVEIS SABARA LTDA;RUA DA PONTE,27,SIDERURGICA,SABARA,MG,BRAZIL;-19.88179999999999;-43.79377899999999
25.550.716/0001-93;POSTO DAS NACOES LTDA;RODOVIA MG-05,KM 6,NACOES UNIDAS,SABARA,MG,BRAZIL;-19.87507829999999;-43.87389379999998
21.901.350/0001-07;POSTO ANA LUCIA LTDA;AVENIDA CONTAGEM,1354,ANA LUCIA,SABARA,MG,BRAZIL;-19.88444670000002;-43.90644760000001
02.644.577/0001-61;AUTO POSTO CANADA LTDA EPP;AVENIDA 31 DE MAR?áO,30,COLONIA DO MAR?áAL,SAO JOAO DEL REI,MG,BRAZIL;-21.10674040000001;-44.23054899999999
02.309.786/0001-59;AGOSTINI COMERCIO E TRANSPORTE DE PETROLEO LTDA;AVENIDA REI TOME PORTES DEL REI,511,MATOZINHOS,SAO JOAO DEL REI,MG,BRAZIL;-21.12290459999999;-44.23597989999999
45.431.429/0001-71;AFGM COM DERIVADOS DE PETROLEO LTDA;AVENIDA JOSUE DE QUEIROZ,563,MATOZINHOS,SAO JOAO DEL REI,MG,BRAZIL;-21.1306778;-44.23688930000001
05.014.395/0001-03;POSTO BARRA DEZ LTDA;AVENIDA TRINTA E UM DE MARCO,860,COLONIA DO MARCAL,SAO JOAO DEL REI,MG,BRAZIL;-21.10833070000002;-44.23273990000001
27.895.026/0001-00;COMERCIO DE COMBUSTIVEIS SJDR LTDA;AVENIDA TRINTA E UM DE MARCO,2436,COLONIA DO MARCAL,SAO JOAO DEL REI,MG,BRAZIL;-21.0995624;-44.22817140000001
12.252.711/0001-32;AUTO POSTO ESPACO REAL LTDA;AVENIDA TRINTA E UM DE MARCO,3000,COLONIA DO MARCAL,SAO JOAO DEL REI,MG,BRAZIL;-21.0958662;-44.22868069999998
17.618.091/0001-26;SAMAMBAIA AUTO POSTO LTDA;AVENIDA MONSENHOR MANCINI,S/N,VIDA DALVA,SAO SEBASTIAO DO PARAISO,MG,BRAZIL;-20.91119789999999;-46.98645160000002
